Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
15-19 ani, Total, Total, Municipiul Bucuresti, Anul 2018, Numar persoane, 58427
15-19 ani, Total, Total, Municipiul Bucuresti, Anul 2019, Numar persoane, 59320
15-19 ani, Total, Total, Municipiul Bucuresti, Anul 2020, Numar persoane, 61613
15-19 ani, Total, Total, Municipiul Bucuresti, Anul 2021, Numar persoane, 64950
15-19 ani, Total, Total, Municipiul Bucuresti, Anul 2022, Numar persoane, 73235
15-19 ani, Total, Total, Municipiul Bucuresti, Anul 2023, Numar persoane, 78536
15-19 ani, Total, Total, Dolj, Anul 2012, Numar persoane, 36551
15-19 ani, Total, Total, Dolj, Anul 2013, Numar persoane, 35630
15-19 ani, Total, Total, Dolj, Anul 2014, Numar persoane, 35229
15-19 ani, Total, Total, Dolj, Anul 2015, Numar persoane, 34838
15-19 ani, Total, Total, Dolj, Anul 2016, Numar persoane, 34857
15-19 ani, Total, Total, Dolj, Anul 2017, Numar persoane, 34379
15-19 ani, Total, Total, Dolj, Anul 2018, Numar persoane, 33451
15-19 ani, Total, Total, Dolj, Anul 2019, Numar persoane, 32547
15-19 ani, Total, Total, Dolj, Anul 2020, Numar persoane, 31757
15-19 ani, Total, Total, Dolj, Anul 2021, Numar persoane, 31138
15-19 ani, Total, Total, Dolj, Anul 2022, Numar persoane, 31298
15-19 ani, Total, Total, Dolj, Anul 2023, Numar persoane, 32380
15-19 ani, Total, Total, Gorj, Anul 2012, Numar persoane, 21455
15-19 ani, Total, Total, Gorj, Anul 2013, Numar persoane, 21963
15-19 ani, Total, Total, Gorj, Anul 2014, Numar persoane, 21642
15-19 ani, Total, Total, Gorj, Anul 2015, Numar persoane, 21024
15-19 ani, Total, Total, Gorj, Anul 2016, Numar persoane, 20572
15-19 ani, Total, Total, Gorj, Anul 2017, Numar persoane, 19909
15-19 ani, Total, Total, Gorj, Anul 2018, Numar persoane, 18941
15-19 ani, Total, Total, Gorj, Anul 2019, Numar persoane, 18209
15-19 ani, Total, Total, Gorj, Anul 2020, Numar persoane, 17539
15-19 ani, Total, Total, Gorj, Anul 2021, Numar persoane, 17337
15-19 ani, Total, Total, Gorj, Anul 2022, Numar persoane, 17065
15-19 ani, Total, Total, Gorj, Anul 2023, Numar persoane, 17090
15-19 ani, Total, Total, Mehedinti, Anul 2012, Numar persoane, 14835
15-19 ani, Total, Total, Mehedinti, Anul 2013, Numar persoane, 15123
15-19 ani, Total, Total, Mehedinti, Anul 2014, Numar persoane, 14837
15-19 ani, Total, Total, Mehedinti, Anul 2015, Numar persoane, 14720
15-19 ani, Total, Total, Mehedinti, Anul 2016, Numar persoane, 14484
15-19 ani, Total, Total, Mehedinti, Anul 2017, Numar persoane, 14230
15-19 ani, Total, Total, Mehedinti, Anul 2018, Numar persoane, 13736
15-19 ani, Total, Total, Mehedinti, Anul 2019, Numar persoane, 13454
15-19 ani, Total, Total, Mehedinti, Anul 2020, Numar persoane, 13215
15-19 ani, Total, Total, Mehedinti, Anul 2021, Numar persoane, 13151
15-19 ani, Total, Total, Mehedinti, Anul 2022, Numar persoane, 12687
15-19 ani, Total, Total, Mehedinti, Anul 2023, Numar persoane, 12987
15-19 ani, Total, Total, Olt, Anul 2012, Numar persoane, 25320
15-19 ani, Total, Total, Olt, Anul 2013, Numar persoane, 26010
15-19 ani, Total, Total, Olt, Anul 2014, Numar persoane, 25727
15-19 ani, Total, Total, Olt, Anul 2015, Numar persoane, 25422
15-19 ani, Total, Total, Olt, Anul 2016, Numar persoane, 25057
15-19 ani, Total, Total, Olt, Anul 2017, Numar persoane, 24207
15-19 ani, Total, Total, Olt, Anul 2018, Numar persoane, 22872
15-19 ani, Total, Total, Olt, Anul 2019, Numar persoane, 21862
15-19 ani, Total, Total, Olt, Anul 2020, Numar persoane, 20950
15-19 ani, Total, Total, Olt, Anul 2021, Numar persoane, 20424
15-19 ani, Total, Total, Olt, Anul 2022, Numar persoane, 19647
15-19 ani, Total, Total, Olt, Anul 2023, Numar persoane, 20099
15-19 ani, Total, Total, Valcea, Anul 2012, Numar persoane, 20440
15-19 ani, Total, Total, Valcea, Anul 2013, Numar persoane, 20890
15-19 ani, Total, Total, Valcea, Anul 2014, Numar persoane, 20749
15-19 ani, Total, Total, Valcea, Anul 2015, Numar persoane, 20356
15-19 ani, Total, Total, Valcea, Anul 2016, Numar persoane, 20277
15-19 ani, Total, Total, Valcea, Anul 2017, Numar persoane, 19797
15-19 ani, Total, Total, Valcea, Anul 2018, Numar persoane, 19180
15-19 ani, Total, Total, Valcea, Anul 2019, Numar persoane, 18578
15-19 ani, Total, Total, Valcea, Anul 2020, Numar persoane, 18102
15-19 ani, Total, Total, Valcea, Anul 2021, Numar persoane, 17919
15-19 ani, Total, Total, Valcea, Anul 2022, Numar persoane, 17973
15-19 ani, Total, Total, Valcea, Anul 2023, Numar persoane, 18211
15-19 ani, Total, Total, Arad, Anul 2012, Numar persoane, 23220
15-19 ani, Total, Total, Arad, Anul 2013, Numar persoane, 23295
15-19 ani, Total, Total, Arad, Anul 2014, Numar persoane, 23402
15-19 ani, Total, Total, Arad, Anul 2015, Numar persoane, 23335
15-19 ani, Total, Total, Arad, Anul 2016, Numar persoane, 23525
15-19 ani, Total, Total, Arad, Anul 2017, Numar persoane, 23579
15-19 ani, Total, Total, Arad, Anul 2018, Numar persoane, 23099
15-19 ani, Total, Total, Arad, Anul 2019, Numar persoane, 22644
15-19 ani, Total, Total, Arad, Anul 2020, Numar persoane, 22144
15-19 ani, Total, Total, Arad, Anul 2021, Numar persoane, 21982
15-19 ani, Total, Total, Arad, Anul 2022, Numar persoane, 21815
15-19 ani, Total, Total, Arad, Anul 2023, Numar persoane, 22608
15-19 ani, Total, Total, Caras-Severin, Anul 2012, Numar persoane, 15930
15-19 ani, Total, Total, Caras-Severin, Anul 2013, Numar persoane, 16205
15-19 ani, Total, Total, Caras-Severin, Anul 2014, Numar persoane, 16197
15-19 ani, Total, Total, Caras-Severin, Anul 2015, Numar persoane, 15973
15-19 ani, Total, Total, Caras-Severin, Anul 2016, Numar persoane, 15826
15-19 ani, Total, Total, Caras-Severin, Anul 2017, Numar persoane, 15606
15-19 ani, Total, Total, Caras-Severin, Anul 2018, Numar persoane, 15289
15-19 ani, Total, Total, Caras-Severin, Anul 2019, Numar persoane, 15010
15-19 ani, Total, Total, Caras-Severin, Anul 2020, Numar persoane, 15137
15-19 ani, Total, Total, Caras-Severin, Anul 2021, Numar persoane, 14981
15-19 ani, Total, Total, Caras-Severin, Anul 2022, Numar persoane, 13662
15-19 ani, Total, Total, Caras-Severin, Anul 2023, Numar persoane, 13958
15-19 ani, Total, Total, Hunedoara, Anul 2012, Numar persoane, 22569
15-19 ani, Total, Total, Hunedoara, Anul 2013, Numar persoane, 22922
15-19 ani, Total, Total, Hunedoara, Anul 2014, Numar persoane, 22488
15-19 ani, Total, Total, Hunedoara, Anul 2015, Numar persoane, 21851
15-19 ani, Total, Total, Hunedoara, Anul 2016, Numar persoane, 21481
15-19 ani, Total, Total, Hunedoara, Anul 2017, Numar persoane, 20849
15-19 ani, Total, Total, Hunedoara, Anul 2018, Numar persoane, 19942
15-19 ani, Total, Total, Hunedoara, Anul 2019, Numar persoane, 19214
15-19 ani, Total, Total, Hunedoara, Anul 2020, Numar persoane, 19098
15-19 ani, Total, Total, Hunedoara, Anul 2021, Numar persoane, 18970
15-19 ani, Total, Total, Hunedoara, Anul 2022, Numar persoane, 18017
15-19 ani, Total, Total, Hunedoara, Anul 2023, Numar persoane, 18683
15-19 ani, Total, Total, Timis, Anul 2012, Numar persoane, 37866
15-19 ani, Total, Total, Timis, Anul 2013, Numar persoane, 33374
15-19 ani, Total, Total, Timis, Anul 2014, Numar persoane, 32586
15-19 ani, Total, Total, Timis, Anul 2015, Numar persoane, 32004
15-19 ani, Total, Total, Timis, Anul 2016, Numar persoane, 31823
15-19 ani, Total, Total, Timis, Anul 2017, Numar persoane, 31326
15-19 ani, Total, Total, Timis, Anul 2018, Numar persoane, 30760
15-19 ani, Total, Total, Timis, Anul 2019, Numar persoane, 30155
15-19 ani, Total, Total, Timis, Anul 2020, Numar persoane, 29786
15-19 ani, Total, Total, Timis, Anul 2021, Numar persoane, 29990
15-19 ani, Total, Total, Timis, Anul 2022, Numar persoane, 31451
15-19 ani, Total, Total, Timis, Anul 2023, Numar persoane, 32848
20-24 ani, Total, Total, Bihor, Anul 2012, Numar persoane, 40303
20-24 ani, Total, Total, Bihor, Anul 2013, Numar persoane, 39201
20-24 ani, Total, Total, Bihor, Anul 2014, Numar persoane, 37077
20-24 ani, Total, Total, Bihor, Anul 2015, Numar persoane, 35186
20-24 ani, Total, Total, Bihor, Anul 2016, Numar persoane, 33495
20-24 ani, Total, Total, Bihor, Anul 2017, Numar persoane, 32128
20-24 ani, Total, Total, Bihor, Anul 2018, Numar persoane, 30904
20-24 ani, Total, Total, Bihor, Anul 2019, Numar persoane, 30500
20-24 ani, Total, Total, Bihor, Anul 2020, Numar persoane, 29965
20-24 ani, Total, Total, Bihor, Anul 2021, Numar persoane, 29923
20-24 ani, Total, Total, Bihor, Anul 2022, Numar persoane, 29535
20-24 ani, Total, Total, Bihor, Anul 2023, Numar persoane, 30079
20-24 ani, Total, Total, Bistrita-Nasaud, Anul 2012, Numar persoane, 17888
20-24 ani, Total, Total, Bistrita-Nasaud, Anul 2013, Numar persoane, 16602
20-24 ani, Total, Total, Bistrita-Nasaud, Anul 2014, Numar persoane, 16162
20-24 ani, Total, Total, Bistrita-Nasaud, Anul 2015, Numar persoane, 16041
20-24 ani, Total, Total, Bistrita-Nasaud, Anul 2016, Numar persoane, 16170
20-24 ani, Total, Total, Bistrita-Nasaud, Anul 2017, Numar persoane, 16354
20-24 ani, Total, Total, Bistrita-Nasaud, Anul 2018, Numar persoane, 16761
20-24 ani, Total, Total, Bistrita-Nasaud, Anul 2019, Numar persoane, 16627
20-24 ani, Total, Total, Bistrita-Nasaud, Anul 2020, Numar persoane, 16190
20-24 ani, Total, Total, Bistrita-Nasaud, Anul 2021, Numar persoane, 16205
20-24 ani, Total, Total, Bistrita-Nasaud, Anul 2022, Numar persoane, 16465
20-24 ani, Total, Total, Bistrita-Nasaud, Anul 2023, Numar persoane, 16465
20-24 ani, Total, Total, Cluj, Anul 2012, Numar persoane, 67955
20-24 ani, Total, Total, Cluj, Anul 2013, Numar persoane, 69148
20-24 ani, Total, Total, Cluj, Anul 2014, Numar persoane, 62661
20-24 ani, Total, Total, Cluj, Anul 2015, Numar persoane, 54551
20-24 ani, Total, Total, Cluj, Anul 2016, Numar persoane, 45747
20-24 ani, Total, Total, Cluj, Anul 2017, Numar persoane, 38021
20-24 ani, Total, Total, Cluj, Anul 2018, Numar persoane, 31458
20-24 ani, Total, Total, Cluj, Anul 2019, Numar persoane, 30714
20-24 ani, Total, Total, Cluj, Anul 2020, Numar persoane, 30082
20-24 ani, Total, Total, Cluj, Anul 2021, Numar persoane, 30285
20-24 ani, Total, Total, Cluj, Anul 2022, Numar persoane, 36694
20-24 ani, Total, Total, Cluj, Anul 2023, Numar persoane, 36221
20-24 ani, Total, Total, Maramures, Anul 2012, Numar persoane, 32514
20-24 ani, Total, Total, Maramures, Anul 2013, Numar persoane, 30375
20-24 ani, Total, Total, Maramures, Anul 2014, Numar persoane, 28753
20-24 ani, Total, Total, Maramures, Anul 2015, Numar persoane, 27696
20-24 ani, Total, Total, Maramures, Anul 2016, Numar persoane, 27093
20-24 ani, Total, Total, Maramures, Anul 2017, Numar persoane, 26848
20-24 ani, Total, Total, Maramures, Anul 2018, Numar persoane, 26760
20-24 ani, Total, Total, Maramures, Anul 2019, Numar persoane, 26556
20-24 ani, Total, Total, Maramures, Anul 2020, Numar persoane, 26171
20-24 ani, Total, Total, Maramures, Anul 2021, Numar persoane, 26033
20-24 ani, Total, Total, Maramures, Anul 2022, Numar persoane, 24077
20-24 ani, Total, Total, Maramures, Anul 2023, Numar persoane, 24131
20-24 ani, Total, Total, Satu Mare, Anul 2012, Numar persoane, 22659
20-24 ani, Total, Total, Satu Mare, Anul 2013, Numar persoane, 21180
20-24 ani, Total, Total, Satu Mare, Anul 2014, Numar persoane, 20132
20-24 ani, Total, Total, Satu Mare, Anul 2015, Numar persoane, 19415
20-24 ani, Total, Total, Satu Mare, Anul 2016, Numar persoane, 18851
20-24 ani, Total, Total, Satu Mare, Anul 2017, Numar persoane, 18865
20-24 ani, Total, Total, Satu Mare, Anul 2018, Numar persoane, 18937
20-24 ani, Total, Total, Satu Mare, Anul 2019, Numar persoane, 18583
20-24 ani, Total, Total, Satu Mare, Anul 2020, Numar persoane, 18140
20-24 ani, Total, Total, Satu Mare, Anul 2021, Numar persoane, 18390
20-24 ani, Total, Total, Satu Mare, Anul 2022, Numar persoane, 16788
20-24 ani, Total, Total, Satu Mare, Anul 2023, Numar persoane, 17076
20-24 ani, Total, Total, Salaj, Anul 2012, Numar persoane, 13205
20-24 ani, Total, Total, Salaj, Anul 2013, Numar persoane, 11916
20-24 ani, Total, Total, Salaj, Anul 2014, Numar persoane, 11517
20-24 ani, Total, Total, Salaj, Anul 2015, Numar persoane, 11557
20-24 ani, Total, Total, Salaj, Anul 2016, Numar persoane, 11706
20-24 ani, Total, Total, Salaj, Anul 2017, Numar persoane, 11965
20-24 ani, Total, Total, Salaj, Anul 2018, Numar persoane, 12304
20-24 ani, Total, Total, Salaj, Anul 2019, Numar persoane, 12085
20-24 ani, Total, Total, Salaj, Anul 2020, Numar persoane, 11789
20-24 ani, Total, Total, Salaj, Anul 2021, Numar persoane, 11880
20-24 ani, Total, Total, Salaj, Anul 2022, Numar persoane, 11195
20-24 ani, Total, Total, Salaj, Anul 2023, Numar persoane, 11203
20-24 ani, Total, Total, Alba, Anul 2012, Numar persoane, 19991
20-24 ani, Total, Total, Alba, Anul 2013, Numar persoane, 18514
20-24 ani, Total, Total, Alba, Anul 2014, Numar persoane, 17817
20-24 ani, Total, Total, Alba, Anul 2015, Numar persoane, 17486
20-24 ani, Total, Total, Alba, Anul 2016, Numar persoane, 17363
20-24 ani, Total, Total, Alba, Anul 2017, Numar persoane, 17558
20-24 ani, Total, Total, Alba, Anul 2018, Numar persoane, 17796
20-24 ani, Total, Total, Alba, Anul 2019, Numar persoane, 17564
20-24 ani, Total, Total, Alba, Anul 2020, Numar persoane, 17440
20-24 ani, Total, Total, Alba, Anul 2021, Numar persoane, 17466
20-24 ani, Total, Total, Alba, Anul 2022, Numar persoane, 16140
20-24 ani, Total, Total, Alba, Anul 2023, Numar persoane, 16138
20-24 ani, Total, Total, Brasov, Anul 2012, Numar persoane, 39801
20-24 ani, Total, Total, Brasov, Anul 2013, Numar persoane, 38066
20-24 ani, Total, Total, Brasov, Anul 2014, Numar persoane, 34871
20-24 ani, Total, Total, Brasov, Anul 2015, Numar persoane, 31263
20-24 ani, Total, Total, Brasov, Anul 2016, Numar persoane, 28456
20-24 ani, Total, Total, Brasov, Anul 2017, Numar persoane, 26345
20-24 ani, Total, Total, Brasov, Anul 2018, Numar persoane, 25008
20-24 ani, Total, Total, Brasov, Anul 2019, Numar persoane, 24792
20-24 ani, Total, Total, Brasov, Anul 2020, Numar persoane, 24917
20-24 ani, Total, Total, Brasov, Anul 2021, Numar persoane, 25332
20-24 ani, Total, Total, Brasov, Anul 2022, Numar persoane, 25400
20-24 ani, Total, Total, Brasov, Anul 2023, Numar persoane, 25833
20-24 ani, Total, Total, Covasna, Anul 2012, Numar persoane, 13685
20-24 ani, Total, Total, Covasna, Anul 2013, Numar persoane, 12255
20-24 ani, Total, Total, Covasna, Anul 2014, Numar persoane, 11251
20-24 ani, Total, Total, Covasna, Anul 2015, Numar persoane, 10379
20-24 ani, Total, Total, Covasna, Anul 2016, Numar persoane, 10097
20-24 ani, Total, Total, Covasna, Anul 2017, Numar persoane, 10350
20-24 ani, Total, Total, Covasna, Anul 2018, Numar persoane, 10612
20-24 ani, Total, Total, Covasna, Anul 2019, Numar persoane, 10625
20-24 ani, Total, Total, Covasna, Anul 2020, Numar persoane, 10742
20-24 ani, Total, Total, Covasna, Anul 2021, Numar persoane, 10886
20-24 ani, Total, Total, Covasna, Anul 2022, Numar persoane, 10654
20-24 ani, Total, Total, Covasna, Anul 2023, Numar persoane, 10724
20-24 ani, Total, Total, Harghita, Anul 2012, Numar persoane, 20427
20-24 ani, Total, Total, Harghita, Anul 2013, Numar persoane, 19109
20-24 ani, Total, Total, Harghita, Anul 2014, Numar persoane, 17740
20-24 ani, Total, Total, Harghita, Anul 2015, Numar persoane, 16859
20-24 ani, Total, Total, Harghita, Anul 2016, Numar persoane, 16525
20-24 ani, Total, Total, Harghita, Anul 2017, Numar persoane, 16297
20-24 ani, Total, Total, Harghita, Anul 2018, Numar persoane, 16411
20-24 ani, Total, Total, Harghita, Anul 2019, Numar persoane, 16460
20-24 ani, Total, Total, Harghita, Anul 2020, Numar persoane, 16224
20-24 ani, Total, Total, Harghita, Anul 2021, Numar persoane, 16200
20-24 ani, Total, Total, Harghita, Anul 2022, Numar persoane, 15472
20-24 ani, Total, Total, Harghita, Anul 2023, Numar persoane, 15514
20-24 ani, Total, Total, Mures, Anul 2012, Numar persoane, 37239
20-24 ani, Total, Total, Mures, Anul 2013, Numar persoane, 35495
20-24 ani, Total, Total, Mures, Anul 2014, Numar persoane, 33288
20-24 ani, Total, Total, Mures, Anul 2015, Numar persoane, 31830
20-24 ani, Total, Total, Mures, Anul 2016, Numar persoane, 30141
20-24 ani, Total, Total, Mures, Anul 2017, Numar persoane, 29105
20-24 ani, Total, Total, Mures, Anul 2018, Numar persoane, 28707
20-24 ani, Total, Total, Mures, Anul 2019, Numar persoane, 28489
20-24 ani, Total, Total, Mures, Anul 2020, Numar persoane, 28239
20-24 ani, Total, Total, Mures, Anul 2021, Numar persoane, 28760
20-24 ani, Total, Total, Mures, Anul 2022, Numar persoane, 28473
20-24 ani, Total, Total, Mures, Anul 2023, Numar persoane, 28811
20-24 ani, Total, Total, Sibiu, Anul 2012, Numar persoane, 29558
20-24 ani, Total, Total, Sibiu, Anul 2013, Numar persoane, 29306
20-24 ani, Total, Total, Sibiu, Anul 2014, Numar persoane, 27293
20-24 ani, Total, Total, Sibiu, Anul 2015, Numar persoane, 25116
20-24 ani, Total, Total, Sibiu, Anul 2016, Numar persoane, 23288
20-24 ani, Total, Total, Sibiu, Anul 2017, Numar persoane, 21614
20-24 ani, Total, Total, Sibiu, Anul 2018, Numar persoane, 20276
20-24 ani, Total, Total, Sibiu, Anul 2019, Numar persoane, 20397
20-24 ani, Total, Total, Sibiu, Anul 2020, Numar persoane, 20410
20-24 ani, Total, Total, Sibiu, Anul 2021, Numar persoane, 20643
20-24 ani, Total, Total, Sibiu, Anul 2022, Numar persoane, 19869
20-24 ani, Total, Total, Sibiu, Anul 2023, Numar persoane, 20370
20-24 ani, Total, Total, Bacau, Anul 2012, Numar persoane, 36161
20-24 ani, Total, Total, Bacau, Anul 2013, Numar persoane, 34725
20-24 ani, Total, Total, Bacau, Anul 2014, Numar persoane, 34524
20-24 ani, Total, Total, Bacau, Anul 2015, Numar persoane, 35212
20-24 ani, Total, Total, Bacau, Anul 2016, Numar persoane, 35415
20-24 ani, Total, Total, Bacau, Anul 2017, Numar persoane, 35824
20-24 ani, Total, Total, Bacau, Anul 2018, Numar persoane, 36251
20-24 ani, Total, Total, Bacau, Anul 2019, Numar persoane, 36203
20-24 ani, Total, Total, Bacau, Anul 2020, Numar persoane, 35742
20-24 ani, Total, Total, Bacau, Anul 2021, Numar persoane, 35754
20-24 ani, Total, Total, Bacau, Anul 2022, Numar persoane, 30903
20-24 ani, Total, Total, Bacau, Anul 2023, Numar persoane, 31326
20-24 ani, Total, Total, Botosani, Anul 2012, Numar persoane, 23868
20-24 ani, Total, Total, Botosani, Anul 2013, Numar persoane, 21928
20-24 ani, Total, Total, Botosani, Anul 2014, Numar persoane, 21497
20-24 ani, Total, Total, Botosani, Anul 2015, Numar persoane, 22037
20-24 ani, Total, Total, Botosani, Anul 2016, Numar persoane, 22751
20-24 ani, Total, Total, Botosani, Anul 2017, Numar persoane, 23617
20-24 ani, Total, Total, Botosani, Anul 2018, Numar persoane, 24462
20-24 ani, Total, Total, Botosani, Anul 2019, Numar persoane, 24373
20-24 ani, Total, Total, Botosani, Anul 2020, Numar persoane, 24370
20-24 ani, Total, Total, Botosani, Anul 2021, Numar persoane, 24598
20-24 ani, Total, Total, Botosani, Anul 2022, Numar persoane, 22869
20-24 ani, Total, Total, Botosani, Anul 2023, Numar persoane, 23176
20-24 ani, Total, Total, Iasi, Anul 2012, Numar persoane, 67837
20-24 ani, Total, Total, Iasi, Anul 2013, Numar persoane, 67072
20-24 ani, Total, Total, Iasi, Anul 2014, Numar persoane, 62322
20-24 ani, Total, Total, Iasi, Anul 2015, Numar persoane, 57306
20-24 ani, Total, Total, Iasi, Anul 2016, Numar persoane, 52229
20-24 ani, Total, Total, Iasi, Anul 2017, Numar persoane, 47442
20-24 ani, Total, Total, Iasi, Anul 2018, Numar persoane, 44273
20-24 ani, Total, Total, Iasi, Anul 2019, Numar persoane, 44620
20-24 ani, Total, Total, Iasi, Anul 2020, Numar persoane, 44180
20-24 ani, Total, Total, Iasi, Anul 2021, Numar persoane, 44817
20-24 ani, Total, Total, Iasi, Anul 2022, Numar persoane, 47172
20-24 ani, Total, Total, Iasi, Anul 2023, Numar persoane, 49333
20-24 ani, Total, Total, Neamt, Anul 2012, Numar persoane, 24003
20-24 ani, Total, Total, Neamt, Anul 2013, Numar persoane, 22472
20-24 ani, Total, Total, Neamt, Anul 2014, Numar persoane, 22752
20-24 ani, Total, Total, Neamt, Anul 2015, Numar persoane, 23733
20-24 ani, Total, Total, Neamt, Anul 2016, Numar persoane, 24907
20-24 ani, Total, Total, Neamt, Anul 2017, Numar persoane, 25842
20-24 ani, Total, Total, Neamt, Anul 2018, Numar persoane, 26759
20-24 ani, Total, Total, Neamt, Anul 2019, Numar persoane, 26419
20-24 ani, Total, Total, Neamt, Anul 2020, Numar persoane, 26268
20-24 ani, Total, Total, Neamt, Anul 2021, Numar persoane, 26406
20-24 ani, Total, Total, Neamt, Anul 2022, Numar persoane, 21680
20-24 ani, Total, Total, Neamt, Anul 2023, Numar persoane, 21823
20-24 ani, Total, Total, Suceava, Anul 2012, Numar persoane, 40208
20-24 ani, Total, Total, Suceava, Anul 2013, Numar persoane, 39201
20-24 ani, Total, Total, Suceava, Anul 2014, Numar persoane, 39266
20-24 ani, Total, Total, Suceava, Anul 2015, Numar persoane, 40102
20-24 ani, Total, Total, Suceava, Anul 2016, Numar persoane, 40469
20-24 ani, Total, Total, Suceava, Anul 2017, Numar persoane, 41063
20-24 ani, Total, Total, Suceava, Anul 2018, Numar persoane, 41618
20-24 ani, Total, Total, Suceava, Anul 2019, Numar persoane, 40996
20-24 ani, Total, Total, Suceava, Anul 2020, Numar persoane, 40403
20-24 ani, Total, Total, Suceava, Anul 2021, Numar persoane, 40369
20-24 ani, Total, Total, Suceava, Anul 2022, Numar persoane, 36167
20-24 ani, Total, Total, Suceava, Anul 2023, Numar persoane, 36765
20-24 ani, Total, Total, Vaslui, Anul 2012, Numar persoane, 20854
20-24 ani, Total, Total, Vaslui, Anul 2013, Numar persoane, 19209
20-24 ani, Total, Total, Vaslui, Anul 2014, Numar persoane, 19397
20-24 ani, Total, Total, Vaslui, Anul 2015, Numar persoane, 20435
20-24 ani, Total, Total, Vaslui, Anul 2016, Numar persoane, 21468
20-24 ani, Total, Total, Vaslui, Anul 2017, Numar persoane, 22702
20-24 ani, Total, Total, Vaslui, Anul 2018, Numar persoane, 23879
20-24 ani, Total, Total, Vaslui, Anul 2019, Numar persoane, 24123
20-24 ani, Total, Total, Vaslui, Anul 2020, Numar persoane, 24398
20-24 ani, Total, Total, Vaslui, Anul 2021, Numar persoane, 24907
20-24 ani, Total, Total, Vaslui, Anul 2022, Numar persoane, 20665
20-24 ani, Total, Total, Vaslui, Anul 2023, Numar persoane, 20954
20-24 ani, Total, Total, Braila, Anul 2012, Numar persoane, 17088
20-24 ani, Total, Total, Braila, Anul 2013, Numar persoane, 15089
20-24 ani, Total, Total, Braila, Anul 2014, Numar persoane, 14398
20-24 ani, Total, Total, Braila, Anul 2015, Numar persoane, 14139
20-24 ani, Total, Total, Braila, Anul 2016, Numar persoane, 14403
20-24 ani, Total, Total, Braila, Anul 2017, Numar persoane, 14898
20-24 ani, Total, Total, Braila, Anul 2018, Numar persoane, 15266
20-24 ani, Total, Total, Braila, Anul 2019, Numar persoane, 14965
20-24 ani, Total, Total, Braila, Anul 2020, Numar persoane, 14694
20-24 ani, Total, Total, Braila, Anul 2021, Numar persoane, 14518
20-24 ani, Total, Total, Braila, Anul 2022, Numar persoane, 12311
20-24 ani, Total, Total, Braila, Anul 2023, Numar persoane, 12571
20-24 ani, Total, Total, Buzau, Anul 2012, Numar persoane, 23779
20-24 ani, Total, Total, Buzau, Anul 2013, Numar persoane, 21550
20-24 ani, Total, Total, Buzau, Anul 2014, Numar persoane, 20901
20-24 ani, Total, Total, Buzau, Anul 2015, Numar persoane, 20990
20-24 ani, Total, Total, Buzau, Anul 2016, Numar persoane, 21610
20-24 ani, Total, Total, Buzau, Anul 2017, Numar persoane, 22409
20-24 ani, Total, Total, Buzau, Anul 2018, Numar persoane, 22995
20-24 ani, Total, Total, Buzau, Anul 2019, Numar persoane, 22624
20-24 ani, Total, Total, Buzau, Anul 2020, Numar persoane, 22148
20-24 ani, Total, Total, Buzau, Anul 2021, Numar persoane, 21920
20-24 ani, Total, Total, Buzau, Anul 2022, Numar persoane, 19326
20-24 ani, Total, Total, Buzau, Anul 2023, Numar persoane, 19458
20-24 ani, Total, Total, Constanta, Anul 2012, Numar persoane, 47679
20-24 ani, Total, Total, Constanta, Anul 2013, Numar persoane, 43634
20-24 ani, Total, Total, Constanta, Anul 2014, Numar persoane, 39935
20-24 ani, Total, Total, Constanta, Anul 2015, Numar persoane, 36434
20-24 ani, Total, Total, Constanta, Anul 2016, Numar persoane, 33857
20-24 ani, Total, Total, Constanta, Anul 2017, Numar persoane, 33099
20-24 ani, Total, Total, Constanta, Anul 2018, Numar persoane, 33007
20-24 ani, Total, Total, Constanta, Anul 2019, Numar persoane, 33202
20-24 ani, Total, Total, Constanta, Anul 2020, Numar persoane, 33287
20-24 ani, Total, Total, Constanta, Anul 2021, Numar persoane, 33715
20-24 ani, Total, Total, Constanta, Anul 2022, Numar persoane, 30745
20-24 ani, Total, Total, Constanta, Anul 2023, Numar persoane, 31526
20-24 ani, Total, Total, Galati, Anul 2012, Numar persoane, 32703
20-24 ani, Total, Total, Galati, Anul 2013, Numar persoane, 30778
20-24 ani, Total, Total, Galati, Anul 2014, Numar persoane, 29348
20-24 ani, Total, Total, Galati, Anul 2015, Numar persoane, 28847
20-24 ani, Total, Total, Galati, Anul 2016, Numar persoane, 28790
20-24 ani, Total, Total, Galati, Anul 2017, Numar persoane, 28893
20-24 ani, Total, Total, Galati, Anul 2018, Numar persoane, 28955
20-24 ani, Total, Total, Galati, Anul 2019, Numar persoane, 28971
20-24 ani, Total, Total, Galati, Anul 2020, Numar persoane, 28591
20-24 ani, Total, Total, Galati, Anul 2021, Numar persoane, 28327
20-24 ani, Total, Total, Galati, Anul 2022, Numar persoane, 24525
20-24 ani, Total, Total, Galati, Anul 2023, Numar persoane, 24521
20-24 ani, Total, Total, Tulcea, Anul 2012, Numar persoane, 11638
20-24 ani, Total, Total, Tulcea, Anul 2013, Numar persoane, 10378
20-24 ani, Total, Total, Tulcea, Anul 2014, Numar persoane, 9789
20-24 ani, Total, Total, Tulcea, Anul 2015, Numar persoane, 9557
